Genre,Corpus,Text,Index,n_segments,n_seg_log,name,value,IQR,min,max
REV,OANC,Article247_3289,local,42,3.737669618,M_Edge,0.019733768,0.004429631,0.001025399,0.018743924
REV,OANC,Article247_3404,local,23,3.135494216,M_Vertex,0.242301135,0.029987667,-0.002561529,0.117389137
REV,OANC,Article247_3404,pairwise,23,3.135494216,M_Vertex,0.183514488,0.019460075,-0.009898817,0.067941484
REV,OANC,Article247_365,global,24,3.17805383,M_Edge,0.013213958,0.002781061,0.001772446,0.01289669
REV,OANC,Article247_3726,local,33,3.496507561,M_Edge,0.020337026,0.004429631,0.001025399,0.018743924
REV,OANC,Article247_3781,local,47,3.850147602,M_Edge,0.019023504,0.004429631,0.001025399,0.018743924
REV,OANC,Article247_3804,global,17,2.833213344,M_Vertex,0.078893358,0.100743749,0.090745412,0.493720409
REV,OANC,Article247_4029,pairwise,29,3.36729583,M_Edge,0.016378062,0.003678219,0.001635241,0.016348115
REV,OANC,Article247_4402,pairwise,78,4.356708827,M_Edge,0.017483983,0.003678219,0.001635241,0.016348115
REV,OANC,Article247_782,global,32,3.465735903,M_Edge,0.01982461,0.002781061,0.001772446,0.01289669
REV,OANC,Article247_782,local,32,3.465735903,M_Edge,0.021557401,0.004429631,0.001025399,0.018743924
REV,OANC,ArticleIP_1040,local,52,3.951243719,M_Vertex,0.117660203,0.029987667,-0.002561529,0.117389137
REV,OANC,ArticleIP_1040,pairwise,52,3.951243719,M_Vertex,0.069554273,0.019460075,-0.009898817,0.067941484
REV,OANC,ArticleIP_2037,global,63,4.143134726,M_Edge,0.014111875,0.002781061,0.001772446,0.01289669
REV,OANC,ArticleIP_2037,pairwise,63,4.143134726,M_Edge,0.018119326,0.003678219,0.001635241,0.016348115
REV,OANC,ArticleIP_22748,local,100,4.605170186,M_Edge,0.019397656,0.004429631,0.001025399,0.018743924
REV,OANC,ArticleIP_2371,global,108,4.682131227,M_Vertex,0.494371054,0.100743749,0.090745412,0.493720409
REV,OANC,ArticleIP_2622,local,66,4.189654742,M_Edge,0.019082559,0.004429631,0.001025399,0.018743924
REV,OANC,ArticleIP_32603,global,40,3.688879454,M_Edge,0.016383739,0.002781061,0.001772446,0.01289669
REV,OANC,ArticleIP_32603,local,40,3.688879454,M_Edge,0.019735074,0.004429631,0.001025399,0.018743924
REV,OANC,ArticleIP_32603,pairwise,40,3.688879454,M_Vertex,0.074208809,0.019460075,-0.009898817,0.067941484
REV,OANC,ArticleIP_3562,global,74,4.304065093,M_Edge,0.012924359,0.002781061,0.001772446,0.01289669
REV,OANC,ArticleIP_3562,local,74,4.304065093,M_Edge,0.020243908,0.004429631,0.001025399,0.018743924
REV,OANC,ArticleIP_35916,global,105,4.65396035,M_Vertex,0.519052293,0.100743749,0.090745412,0.493720409
REV,OANC,ArticleIP_37293,pairwise,25,3.218875825,M_Edge,0.01718858,0.003678219,0.001635241,0.016348115
REV,OANC,ArticleIP_55898,global,186,5.225746674,M_Vertex,0.541499329,0.100743749,0.090745412,0.493720409
CAR,OANC,105CWL063,local,23,3.135494216,M_Vertex,0.162859459,0.042284289,-0.011869658,0.1572675
CAR,OANC,105CWL063,pairwise,23,3.135494216,M_Vertex,0.110740489,0.028188614,-0.004418669,0.108335787
CAR,OANC,106CWL031,local,11,2.397895273,M_Vertex,0.242738095,0.042284289,-0.011869658,0.1572675
CAR,OANC,106CWL031,pairwise,11,2.397895273,M_Vertex,0.143707071,0.028188614,-0.004418669,0.108335787
CAR,OANC,110CYL067,global,40,3.688879454,M_Edge,0.020618317,0.004608836,0.00194985,0.020385193
CAR,OANC,110CYL067,local,40,3.688879454,M_Edge,0.049575754,0.008123241,-0.001489842,0.031003123
CAR,OANC,110CYL067,pairwise,40,3.688879454,M_Edge,0.029462837,0.006748851,-0.000561735,0.026433668
CAR,OANC,113CWL018,local,15,2.708050201,M_Edge,0.032122507,0.008123241,-0.001489842,0.031003123
CAR,OANC,120CUL044,local,18,2.890371758,M_Vertex,0.179346936,0.042284289,-0.011869658,0.1572675
CAR,OANC,120CUL045,local,18,2.890371758,M_Vertex,0.184597858,0.042284289,-0.011869658,0.1572675
CAR,OANC,134CUL236,global,10,2.302585093,M_Edge,0.023149639,0.004608836,0.00194985,0.020385193
CAR,OANC,301CUL073,global,7,1.945910149,M_Edge,0.001482776,0.004608836,0.00194985,0.020385193
CAR,OANC,402CWL184,global,81,4.394449155,M_Vertex,0.543263916,0.111084707,0.041777598,0.486116425
CAR,OANC,407CQL123,local,8,2.079441542,M_Vertex,0.177083333,0.042284289,-0.011869658,0.1572675
CAR,OANC,504C-L102,local,17,2.833213344,M_Edge,0.038634673,0.008123241,-0.001489842,0.031003123
CAR,OANC,505C-L096,local,13,2.564949357,M_Vertex,0.239501433,0.042284289,-0.011869658,0.1572675
CAR,OANC,505C-L096,pairwise,13,2.564949357,M_Vertex,0.153755582,0.028188614,-0.004418669,0.108335787
CAR,OANC,509C-L116,global,35,3.555348061,M_Edge,0.020645923,0.004608836,0.00194985,0.020385193
CAR,OANC,513C-L143,global,15,2.708050201,M_Edge,0.021199411,0.004608836,0.00194985,0.020385193
CAR,OANC,513C-L157,pairwise,18,2.890371758,M_Vertex,0.119635587,0.028188614,-0.004418669,0.108335787
CAR,OANC,530C-L217,pairwise,21,3.044522438,M_Vertex,0.132711963,0.028188614,-0.004418669,0.108335787
CAR,OANC,613CWL231,pairwise,5,1.609437912,M_Vertex,0.118095238,0.028188614,-0.004418669,0.108335787
CON,PG,pg10135_Charles Dickens_The Boots at the Holly-Tree Inn,pairwise,241,5.484796933,M_Vertex,0.054086011,0.008444646,0.006615635,0.04039422
CON,PG,pg10135_Daniel Defoe_The Apparition of Mrs. Veal,local,139,4.934473933,M_Vertex,0.153292079,0.021447405,0.000211336,0.086000957
CON,PG,pg10135_Daniel Defoe_The Apparition of Mrs. Veal,pairwise,139,4.934473933,M_Vertex,0.13086298,0.008444646,0.006615635,0.04039422
CON,PG,pg10135_Mark Twain_A Dog's Tale,pairwise,132,4.882801923,M_Vertex,0.047177964,0.008444646,0.006615635,0.04039422
CON,PG,pg10577_Jean Aicard_The Vase of Clay,pairwise,103,4.634728988,M_Vertex,0.041122622,0.008444646,0.006615635,0.04039422
CON,PG,pg13437_F. K. Sologub_Hide and Seek,pairwise,261,5.564520407,M_Vertex,0.045511221,0.008444646,0.006615635,0.04039422
CON,PG,pg13437_V. N. Garshin_The Signal,pairwise,322,5.774551546,M_Edge,0.019457475,0.00334759,0.0058998,0.019290159
CON,PG,pg15143_Arthur Machen_The Bowmen,local,72,4.276666119,M_Vertex,0.095885526,0.021447405,0.000211336,0.086000957
CON,PG,pg15381_William Schwenk Gilbert_Angela,global,52,3.951243719,M_Edge,0.010740998,0.002232605,0.00106727,0.009997691
CON,PG,pg15381_William Schwenk Gilbert_Angela,pairwise,52,3.951243719,M_Vertex,0.0589167,0.008444646,0.006615635,0.04039422
CON,PG,pg15610_Juan Eugenio Hartzenbusch_Mariquita The Bald,pairwise,127,4.844187086,M_Vertex,0.040779529,0.008444646,0.006615635,0.04039422
CON,PG,pg2031_David P. Abbott_The Methods of A Doctor of The Occult,global,84,4.430816799,M_Edge,0.010330273,0.002232605,0.00106727,0.009997691
CON,PG,pg2031_David P. Abbott_The Methods of A Doctor of The Occult,local,84,4.430816799,M_Vertex,0.087535091,0.021447405,0.000211336,0.086000957
CON,PG,pg2031_David P. Abbott_The Methods of A Doctor of The Occult,pairwise,84,4.430816799,M_Edge,0.020465056,0.00334759,0.0058998,0.019290159
CON,PG,pg2031_Hereward Carrington_Deception Explained by The Science of Psychology,global,119,4.779123493,M_Edge,0.010879807,0.002232605,0.00106727,0.009997691
CON,PG,pg2031_Hereward Carrington_Deception Explained by The Science of Psychology,local,119,4.779123493,M_Vertex,0.08879552,0.021447405,0.000211336,0.086000957
CON,PG,pg2135_Beatrice Harraden_An Idyl of London,local,319,5.765191103,M_Edge,0.023676383,0.004493292,0.005041712,0.023014881
CON,PG,pg2588_Sir Walter Scott_Wandering Willie's Tale,pairwise,289,5.666426688,M_Vertex,0.042798956,0.008444646,0.006615635,0.04039422
CON,PG,pg5336_Juhani Aho_When Father Brought Home The Lamp,local,222,5.402677382,M_Vertex,0.118898868,0.021447405,0.000211336,0.086000957
CON,PG,pg5336_Juhani Aho_When Father Brought Home The Lamp,pairwise,222,5.402677382,M_Vertex,0.050985034,0.008444646,0.006615635,0.04039422
CON,PG,pg5603_Halldón Kiljan Laxness_New Iceland,local,179,5.187385806,M_Vertex,0.102038908,0.021447405,0.000211336,0.086000957
CON,PG,pg6040_Jane Barlow_A Lost Recruit,pairwise,231,5.442417711,M_Edge,0.005857418,0.00334759,0.0058998,0.019290159
BIO,OANC,1471-2105-4-27,global,122,4.804021045,M_Edge,0.008855837,0.001722686,0.001782266,0.008673011
BIO,OANC,1471-2105-4-27,pairwise,122,4.804021045,M_Edge,0.015946379,0.00335011,0.001526233,0.014926671
BIO,OANC,1471-2105-4-31,pairwise,150,5.010635294,M_Edge,0.015509435,0.00335011,0.001526233,0.014926671
BIO,OANC,1471-2121-2-12,local,167,5.117993812,M_Vertex,0.24027044,0.041657472,0.065321619,0.231951505
BIO,OANC,1471-2121-2-12,pairwise,167,5.117993812,M_Vertex,0.116697996,0.025872359,0.011920042,0.115409478
BIO,OANC,1471-2261-3-5,pairwise,127,4.844187086,M_Edge,0.015102412,0.00335011,0.001526233,0.014926671
BIO,OANC,1471-2318-3-2,global,134,4.8978398,M_Edge,0.010925221,0.001722686,0.001782266,0.008673011
BIO,OANC,1471-2318-3-2,local,134,4.8978398,M_Edge,0.021060467,0.003737719,0.002054611,0.017005488
BIO,OANC,1471-2318-3-2,pairwise,134,4.8978398,M_Vertex,0.123781998,0.025872359,0.011920042,0.115409478
BIO,OANC,1471-2318-3-2,pairwise,134,4.8978398,M_Edge,0.020106808,0.00335011,0.001526233,0.014926671
BIO,OANC,1471-2334-2-24,local,123,4.812184355,M_Vertex,0.2405462,0.041657472,0.065321619,0.231951505
BIO,OANC,1471-2350-3-9,pairwise,107,4.672828834,M_Vertex,0.117919926,0.025872359,0.011920042,0.115409478
BIO,OANC,1471-2458-2-25,local,241,5.484796933,M_Edge,0.020052076,0.003737719,0.002054611,0.017005488
BIO,OANC,1471-2458-2-25,pairwise,241,5.484796933,M_Edge,0.015128305,0.00335011,0.001526233,0.014926671
BIO,OANC,1472-6904-2-5,global,551,6.311734809,M_Vertex,0.815076053,0.078139142,0.501637517,0.814194085
BIO,OANC,cc713,global,92,4.521788577,M_Vertex,0.480905651,0.078139142,0.501637517,0.814194085
BIO,OANC,gb-2002-3-5-research0024,local,226,5.420534999,M_Vertex,0.388920592,0.041657472,0.065321619,0.231951505
BIO,OANC,gb-2002-3-5-research0024,pairwise,226,5.420534999,M_Vertex,0.164050193,0.025872359,0.011920042,0.115409478
BIO,OANC,gb-2003-4-5-r34,global,361,5.888877958,M_Vertex,0.830825709,0.078139142,0.501637517,0.814194085
BIO,OANC,gb-2003-4-5-r34,local,361,5.888877958,M_Vertex,0.267800872,0.041657472,0.065321619,0.231951505
EUA,OANC,Attorney_gives_his_time,global,27,3.295836866,M_Vertex,0.201163395,0.093103639,0.204072492,0.576487049
EUA,OANC,City_Council_Budget,local,34,3.526360525,M_Vertex,0.209260566,0.048064441,-0.006829675,0.18542809
EUA,OANC,City_Council_Budget,pairwise,34,3.526360525,M_Vertex,0.142928395,0.029257002,0.002780874,0.119808883
EUA,OANC,Helping_Hands,global,18,2.890371758,M_Edge,0.015758669,0.002658772,0.004598521,0.015233608
EUA,OANC,Helping_Hands,local,18,2.890371758,M_Edge,0.022767775,0.004649904,0.003895554,0.022495171
EUA,OANC,Justice_requests,global,12,2.48490665,M_Edge,0.016079648,0.002658772,0.004598521,0.015233608
EUA,OANC,New_funding_sources,global,38,3.63758616,M_Edge,0.015289,0.002658772,0.004598521,0.015233608
EUA,OANC,Rental_rules,global,39,3.663561646,M_Edge,0.016560238,0.002658772,0.004598521,0.015233608
EUA,OANC,Rumble_in_the_Bronx,global,29,3.36729583,M_Edge,0.015297614,0.002658772,0.004598521,0.015233608
EUA,OANC,State_funding,local,33,3.496507561,M_Edge,0.027138633,0.004649904,0.003895554,0.022495171
EUA,OANC,Working_for_Free,local,44,3.784189634,M_Edge,0.023716842,0.004649904,0.003895554,0.022495171
CIE,OANC,journal.pbio.0020001,local,83,4.418840608,M_Vertex,0.210459332,0.047377644,0.017946447,0.207457023
CIE,OANC,journal.pbio.0020019,local,65,4.17438727,M_Vertex,0.210997937,0.047377644,0.017946447,0.207457023
CIE,OANC,journal.pbio.0030051,local,53,3.970291914,M_Edge,0.018952548,0.003807754,0.003165239,0.018396254
CIE,OANC,pmed.0010022,local,39,3.663561646,M_Edge,0.018407502,0.003807754,0.003165239,0.018396254
CIE,OANC,pmed.0010048,global,23,3.135494216,M_Edge,0.013340728,0.002588109,0.002939825,0.013292263
CIE,OANC,pmed.0010061,local,41,3.713572067,M_Edge,0.018579396,0.003807754,0.003165239,0.018396254
CIE,OANC,pmed.0020047,global,24,3.17805383,M_Edge,0.013960726,0.002588109,0.002939825,0.013292263
CIE,OANC,pmed.0020074,global,18,2.890371758,M_Edge,0.014483656,0.002588109,0.002939825,0.013292263
CIE,OANC,pmed.0020082,local,9,2.197224577,M_Edge,0.001442488,0.003807754,0.003165239,0.018396254
CIE,OANC,pmed.0020085,local,16,2.772588722,M_Edge,0.002494613,0.003807754,0.003165239,0.018396254
CIE,OANC,pmed.0020090,pairwise,17,2.833213344,M_Vertex,0.146377809,0.033571847,-0.00380046,0.130486927
CIE,OANC,pmed.0020099,local,51,3.931825633,M_Edge,0.021591471,0.003807754,0.003165239,0.018396254
CIE,OANC,pmed.0020272,global,44,3.784189634,M_Edge,0.013901429,0.002588109,0.002939825,0.013292263
CIE,OANC,pmed.0020272,pairwise,44,3.784189634,M_Edge,0.019125203,0.003985838,0.001940259,0.01788361
